0,1,2
i want to fly from boston at 838 am and arrive in denver at 1110 in the morning," ""O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time O O O B-toloc.city_name O B-arrive_time.time O O B-arrive_time.period_of_day"""," ""flight"""
what flights are available from pittsburgh to baltimore on thursday morning," ""O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day"""," ""flight"""
what is the arrival time in san francisco for the 755 am flight leaving washington," ""O O O B-flight_time I-flight_time O B-fromloc.city_name I-fromloc.city_name O O B-depart_time.time I-depart_time.time O O B-fromloc.city_name"""," ""flight_time"""
cheapest airfare from tacoma to orlando," ""B-cost_relative O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
round trip fares from pittsburgh to philadelphia under 1000 dollars," ""B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount"""," ""airfare"""
i need a flight tomorrow from columbus to minneapolis," ""O O O O B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what kind of aircraft is used on a flight from cleveland to dallas," ""O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""aircraft"""
show me the flights from pittsburgh to los angeles on thursday," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name"""," ""flight"""
all flights from boston to washington," ""O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what kind of ground transportation is available in denver," ""O O O O O O O O B-city_name"""," ""ground_service"""
show me the flights from dallas to san francisco," ""O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name"""," ""flight"""
show me the flights from san diego to newark by way of houston," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name"""," ""flight"""
what 's the airport at orlando," ""O O O O O B-city_name"""," ""airport"""
what is the cheapest flight from boston to bwi," ""O O O B-cost_relative O O B-fromloc.city_name O B-toloc.airport_code"""," ""flight"""
all flights to baltimore after 6 pm," ""O O O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time"""," ""flight"""
show me the first class fares from boston to denver," ""O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name"""," ""airfare"""
show me the ground transportation in denver," ""O O O O O O B-city_name"""," ""ground_service"""
all flights from denver to pittsburgh leaving after 6 pm and before 7 pm," ""O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_time.time_relative B-depart_time.time I-depart_time.time"""," ""flight"""
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore," ""O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
please give me the flights from boston to pittsburgh on thursday of next week," ""O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.date_relative O"""," ""flight"""
i would like to fly from denver to pittsburgh on united airlines," ""O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name"""," ""flight"""
show me the flights from san diego to newark," ""O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name"""," ""flight"""
please list all first class flights on united from denver to baltimore," ""O O O B-class_type I-class_type O O B-airline_name O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
what kinds of planes are used by american airlines," ""O O O O O O O B-airline_name I-airline_name"""," ""aircraft"""
i 'd like to have some information on a ticket from denver to pittsburgh and atlanta," ""O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name"""," ""airfare"""
i 'd like to book a flight from atlanta to denver," ""O O O O O O O O B-fromloc.city_name O B-toloc.city_name"""," ""flight"""
